Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Like_Rate,Share_Rate,Comment_Rate,engagement_rate,like_to_comment_ratio,share_to_like_ratio,Views_norm
TikTok,#Challenge,Video,UK,4163464.0,339431.0,53135.0,19346.0,High,0.0815261042247513,0.0127622095447444,0.0046466115715183,0.0989349253410141,17.54437380472425,0.1565409271960215,1.6554427449519051
Instagram,#Education,Shorts,India,4155940.0,215240.0,65860.0,27239.0,Medium,0.0517909305716636,0.0158471970240186,0.0065542332179964,0.0741923608136787,7.901615271659325,0.3059825962525727,1.7287029595919192
Twitter,#Challenge,Video,Brazil,3666211.0,327143.0,39423.0,36223.0,Medium,0.0892319072742949,0.0107530635852655,0.0098802278428601,0.1098651987024205,9.031111969964664,0.1205065659159269,1.4629705866970502
YouTube,#Education,Shorts,Australia,917951.0,127125.0,11687.0,36806.0,Low,0.1384877842063465,0.0127316163934676,0.0400958221081517,0.1913152227079659,3.4538267177439077,0.0919324135110048,0.3605961453418962
Instagram,#Challenge,Shorts,Australia,1323566.0,136282.0,86979.0,47129.0,Low,0.1029657757905537,0.0657156499940312,0.0356075934256395,0.2042890192102245,2.89161892637386,0.6382234027721726,0.5505499264703625
YouTube,#Gaming,Shorts,UK,2066886.0,317502.0,45222.0,33638.0,High,0.1536136971269823,0.0218792908752587,0.0162747243921532,0.1917677123943942,9.438508873628823,0.1424301502662966,0.8119290947568341
Twitter,#Education,Live Stream,India,2169523.0,496078.0,96041.0,30174.0,Medium,0.228657635802893,0.0442682562019393,0.0139081263485107,0.2868340183533431,16.44003314001657,0.1936002128693212,0.8657298601097275
TikTok,#Gaming,Shorts,India,3898384.0,8634.0,69378.0,42700.0,Low,0.002214763861128,0.0177966049522058,0.0109532565288591,0.030964625342193,0.2021966698672162,8.034510712217719,1.5500437880180031
Instagram,#Comedy,Live Stream,Germany,4070332.0,379894.0,46012.0,25242.0,High,0.0933324357816512,0.0113042375904471,0.0062014597335057,0.1108381331056041,15.049479063502751,0.1211176772529251,1.6930934938718305
Twitter,#Music,Reel,Australia,4585669.0,465871.0,69083.0,8999.0,Medium,0.1015928101221435,0.0150649774329547,0.0019624181335373,0.1186202056886356,51.763444444444445,0.1482875124497716,1.8298725488872505
YouTube,#Viral,Shorts,Canada,4105651.0,195560.0,37627.0,49089.0,High,0.0476319102622215,0.0091646854542677,0.0119564473453783,0.0687530430618676,3.98370340191485,0.1924054387122176,1.6128114950788242
YouTube,#Fitness,Reel,Japan,1633015.0,312907.0,45774.0,30725.0,High,0.1916130592799209,0.0280303610193415,0.0188148914737464,0.2384583117730088,10.183785718935104,0.1462858092474465,0.6414927531921603
Twitter,#Comedy,Post,Germany,2471790.0,370802.0,54110.0,17081.0,High,0.1500135529312765,0.0218910182499322,0.0069103766905764,0.1788149478717852,21.70717714553331,0.1459265432048823,0.9863469577970012
