Platform,Hashtag,Content_Type,Region,Views,Views_norm,Engagement_Level
TikTok,#Challenge,Video,UK,4163464,1.5715699019801932,High
Instagram,#Education,Shorts,India,4155940,1.6224734257603484,Medium
Twitter,#Challenge,Video,Brazil,3666211,1.3830534325703452,Medium
YouTube,#Education,Shorts,Australia,917951,0.3472934675171514,Low
Instagram,#Challenge,Shorts,Australia,1323566,0.5167183987834091,Low
YouTube,#Comedy,Tweet,Japan,627233,0.237304522257926,Medium
YouTube,#Gaming,Shorts,UK,2066886,0.781976386433105,High
Twitter,#Education,Live Stream,India,2169523,0.8184379546595416,Medium
TikTok,#Gaming,Shorts,India,3898384,1.471510972776792,Low
Instagram,#Comedy,Live Stream,Germany,4070332,1.589052176889457,High
Twitter,#Music,Reel,Australia,4585669,1.7299127767281866,Medium
YouTube,#Viral,Shorts,Canada,4105651,1.5533135997512508,High
YouTube,#Fitness,Reel,Japan,1633015,0.6178275766980167,High
Twitter,#Comedy,Post,Germany,2471790,0.9324661466819704,High
YouTube,#Gaming,Live Stream,Canada,3079923,1.165244265059712,Medium
Twitter,#Dance,Reel,UK,294870,0.1112377235412849,Low
TikTok,#Tech,Shorts,UK,2051091,0.774218987319803,Medium
TikTok,#Fashion,Post,USA,3461154,1.3064711145619017,Low
YouTube,#Education,Tweet,UK,3143932,1.1894611432616045,Low
TikTok,#Viral,Live Stream,USA,3924406,1.4813334167775876,Medium
YouTube,#Dance,Shorts,Brazil,599766,0.2269127805720478,Low
Twitter,#Education,Shorts,Japan,4357851,1.6439699690443652,High
YouTube,#Dance,Tweet,Germany,731492,0.2767494050783278,High
YouTube,#Dance,Live Stream,Brazil,4910814,1.8579353608109503,Low
Instagram,#Gaming,Video,India,4369260,1.7057532688724235,Low
YouTube,#Tech,Post,Canada,1874437,0.7091660942386323,Medium
Instagram,#Gaming,Live Stream,Canada,1653907,0.6456830840144517,Low
YouTube,#Education,Shorts,Japan,4683280,1.7718511669508776,Medium
Instagram,#Comedy,Reel,Australia,1365655,0.5331498881737341,Low
Twitter,#Music,Video,USA,2342195,0.8835773048793698,Medium
YouTube,#Gaming,Live Stream,USA,4977438,1.883141586393648,Low
YouTube,#Viral,Reel,Australia,3005703,1.137164202878699,Low
YouTube,#Education,Tweet,UK,936390,0.3542695961422619,Low
TikTok,#Education,Live Stream,Japan,1855796,0.7005015866151922,High
Instagram,#Dance,Video,India,1367820,0.533995101282386,Medium
TikTok,#Gaming,Shorts,USA,4499253,1.6983191391096668,High
Twitter,#Comedy,Post,USA,4510477,1.7015471006386682,Low
Twitter,#Education,Reel,India,4380015,1.6523311889194594,High
YouTube,#Fashion,Live Stream,Australia,943395,0.3569198364491602,High
Twitter,#Comedy,Post,Brazil,3961278,1.494365473036165,Medium
YouTube,#Comedy,Shorts,Brazil,4080112,1.5436512889449872,Medium
Twitter,#Comedy,Shorts,Germany,3934142,1.4841285996139235,Low
Instagram,#Tech,Reel,Japan,1600237,0.6247303876905014,Medium
Instagram,#Dance,Live Stream,India,2212857,0.8638964175391769,Medium
Twitter,#Gaming,Live Stream,USA,4711157,1.7772522804137048,High
Instagram,#Fashion,Reel,Japan,2747788,1.0727327655411714,Low
YouTube,#Dance,Post,Australia,2081426,0.7874773848716919,Medium
YouTube,#Music,Live Stream,Canada,2258494,0.8544684984565423,Medium
YouTube,#Comedy,Tweet,Japan,1357850,0.5137228837575907,Low
Twitter,#Fitness,Reel,Canada,392337,0.1480064935090619,Medium
Twitter,#Dance,Reel,USA,4006009,1.5112399418248692,High
YouTube,#Fitness,Tweet,Australia,3934991,1.4887468601687708,Medium
Instagram,#Challenge,Live Stream,Australia,2824818,1.102805174667944,Low
Twitter,#Dance,Video,Australia,197986,0.0746888864009388,Medium
YouTube,#Challenge,Post,Germany,2291491,0.8669524355595722,High
Twitter,#Music,Live Stream,UK,3525573,1.3299986933177956,Low
TikTok,#Music,Reel,USA,866896,0.327224556702549,Low
YouTube,#Tech,Video,Australia,4104535,1.5528913773126356,Medium
TikTok,#Dance,Tweet,India,2601441,0.9819579026928672,Low
Instagram,#Gaming,Shorts,Canada,1142030,0.4458469868239413,High
YouTube,#Fashion,Shorts,Canada,2969591,1.123501750635628,Low
TikTok,#Education,Post,Japan,855465,0.3229097324241271,High
YouTube,#Viral,Video,Brazil,4453459,1.6849017197600589,High
Twitter,#Dance,Reel,Japan,1059696,0.3997631861016903,High
Twitter,#Fitness,Tweet,USA,581577,0.2193960102552645,High
YouTube,#Fitness,Tweet,Australia,4226427,1.5990074503302594,Medium
Twitter,#Dance,Reel,Japan,485214,0.1830437168595008,Medium
Instagram,#Education,Tweet,Australia,1419701,0.554249374395538,Low
TikTok,#Fashion,Post,Germany,4378457,1.6527226459300457,Medium
TikTok,#Music,Post,India,3647159,1.3766818476480591,High
YouTube,#Gaming,Video,USA,1750105,0.6621268825559363,Low
Instagram,#Dance,Tweet,India,1796369,0.7013000585570752,High
Twitter,#Fitness,Shorts,India,1535141,0.5791216134394535,Medium
Twitter,#Challenge,Video,Australia,612594,0.2310969648151724,Medium
Instagram,#Challenge,Reel,USA,4219632,1.6473386974999615,Medium
Twitter,#Viral,Shorts,Japan,3994554,1.5069186201469589,High
Instagram,#Challenge,Shorts,India,4290853,1.6751432807846285,Medium
Instagram,#Gaming,Live Stream,Japan,4637078,1.8103090584026584,Low
Instagram,#Comedy,Shorts,Brazil,3315125,1.294220372665095,High
Twitter,#Fitness,Shorts,Brazil,4357287,1.6437572038390975,Medium
TikTok,#Fitness,Shorts,Canada,907386,0.3425081919954633,High
Twitter,#Gaming,Post,India,1908555,0.7199895325171669,High
Twitter,#Challenge,Post,Japan,3074269,1.159747295803379,Medium
YouTube,#Dance,Post,Brazil,4067125,1.5387378455665874,High
YouTube,#Fitness,Reel,Japan,1173157,0.4438469618443891,Low
TikTok,#Fitness,Reel,Germany,2141884,0.8084903407193971,High
Twitter,#Comedy,Post,India,4567233,1.722957919770181,Low
Twitter,#Gaming,Post,UK,506074,0.1909130115082314,Low
YouTube,#Comedy,Tweet,UK,3210080,1.214487281137509,High
TikTok,#Music,Reel,India,1347102,0.508486432955184,High
TikTok,#Tech,Post,Australia,3843536,1.4508076675521495,Medium
Instagram,#Viral,Reel,Germany,965073,0.376763210349239,High
YouTube,#Education,Post,Canada,3096420,1.1714856661079491,Low
YouTube,#Gaming,Tweet,Germany,2723916,1.0305541721349496,High
TikTok,#Music,Live Stream,UK,2249678,0.8491790091008345,Medium
Twitter,#Viral,Shorts,Germany,3311289,1.2491614960738553,Medium
Instagram,#Music,Tweet,India,3588997,1.4011396357102397,Medium
Twitter,#Fitness,Live Stream,USA,3926751,1.4813403945924102,Low
YouTube,#Music,Tweet,UK,2750317,1.0405426081581364,High
TikTok,#Challenge,Reel,Germany,4655757,1.757394220805944,Medium
