Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Like_Rate,Comment_Rate,Total_Engagement_wo_Shares,Engagement_Rate_wo_Shares,Views_norm
TikTok,#Challenge,Video,UK,4163464,339431,53135,19346,0.0815261042247513,0.0046466115715183,358777,0.0861727157962696,1.5715699019801932
Instagram,#Education,Shorts,India,4155940,215240,65860,27239,0.0517909305716636,0.0065542332179964,242479,0.0583451637896601,1.6224734257603484
Twitter,#Challenge,Video,Brazil,3666211,327143,39423,36223,0.0892319072742949,0.0098802278428601,363366,0.099112135117155,1.3830534325703452
YouTube,#Education,Shorts,Australia,917951,127125,11687,36806,0.1384877842063465,0.0400958221081517,163931,0.1785836063144982,0.3472934675171514
Instagram,#Challenge,Shorts,Australia,1323566,136282,86979,47129,0.1029657757905537,0.0356075934256395,183411,0.1385733692161932,0.5167183987834091
YouTube,#Comedy,Tweet,Japan,627233,84121,97973,32648,0.1341144359432619,0.052050832784627,116769,0.186165268727889,0.237304522257926
YouTube,#Gaming,Shorts,UK,2066886,317502,45222,33638,0.1536136971269823,0.0162747243921532,351140,0.1698884215191355,0.781976386433105
Twitter,#Education,Live Stream,India,2169523,496078,96041,30174,0.228657635802893,0.0139081263485107,526252,0.2425657621514038,0.8184379546595416
TikTok,#Gaming,Shorts,India,3898384,8634,69378,42700,0.002214763861128,0.0109532565288591,51334,0.0131680203899872,1.471510972776792
Instagram,#Comedy,Live Stream,Germany,4070332,379894,46012,25242,0.0933324357816512,0.0062014597335057,405136,0.099533895515157,1.589052176889457
Twitter,#Music,Reel,Australia,4585669,465871,69083,8999,0.1015928101221435,0.0019624181335373,474870,0.1035552282556809,1.7299127767281866
YouTube,#Viral,Shorts,Canada,4105651,195560,37627,49089,0.0476319102622215,0.0119564473453783,244649,0.0595883576075998,1.5533135997512508
YouTube,#Fitness,Reel,Japan,1633015,312907,45774,30725,0.1916130592799209,0.0188148914737464,343632,0.2104279507536673,0.6178275766980167
Twitter,#Comedy,Post,Germany,2471790,370802,54110,17081,0.1500135529312765,0.0069103766905764,387883,0.1569239296218529,0.9324661466819704
YouTube,#Gaming,Live Stream,Canada,3079923,124237,44062,26702,0.0403376967541071,0.008669697261912,150939,0.0490073940160192,1.165244265059712
Twitter,#Dance,Reel,UK,294870,213142,20351,20767,0.722833791162207,0.0704276460813239,233909,0.793261437243531,0.1112377235412849
TikTok,#Tech,Shorts,UK,2051091,24472,54704,41737,0.0119312112431871,0.0203486827254373,66209,0.0322798939686245,0.774218987319803
TikTok,#Fashion,Post,USA,3461154,165335,50077,19505,0.0477687499602733,0.0056354036832802,184840,0.0534041536435535,1.3064711145619017
YouTube,#Education,Tweet,UK,3143932,298685,84720,37162,0.0950036451170063,0.0118202302085414,335847,0.1068238753255477,1.1894611432616045
TikTok,#Viral,Live Stream,USA,3924406,35376,72832,3949,0.0090143578416708,0.001006266935684,39325,0.0100206247773548,1.4813334167775876
YouTube,#Dance,Shorts,Brazil,599766,223690,22531,10538,0.3729621218942054,0.0175701857057585,234228,0.390532307599964,0.2269127805720478
Twitter,#Education,Shorts,Japan,4357851,449803,63438,28280,0.1032167001579448,0.0064894371101719,478083,0.1097061372681167,1.6439699690443652
YouTube,#Dance,Tweet,Germany,731492,474649,98377,3654,0.648877909806259,0.0049952699414347,478303,0.6538731797476938,0.2767494050783278
YouTube,#Dance,Live Stream,Brazil,4910814,197287,53218,14896,0.0401739915215685,0.0030333056800766,212183,0.0432072972016451,1.8579353608109503
Instagram,#Gaming,Video,India,4369260,212278,21264,18172,0.0485844284844573,0.0041590566823672,230450,0.0527434851668245,1.7057532688724235
YouTube,#Tech,Post,Canada,1874437,322601,35671,48768,0.1721055442247459,0.026017412161625,371369,0.1981229563863709,0.7091660942386323
