Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Like_Rate,Share_Rate,Comment_Rate,Total_Engagement,Engagement_Rate,Total_Engagement_wo_Shares,Engagement_Rate_wo_Shares,Views_norm
TikTok,#Challenge,Video,UK,4163464,339431,53135,19346,High,0.08152610422475132,0.012762209544744472,0.004646611571518332,411912,0.09893492534101411,358777,0.08617271579626964,1.5715699019801932
Instagram,#Education,Shorts,India,4155940,215240,65860,27239,Medium,0.051790930571663694,0.015847197024018635,0.00655423321799641,308339,0.07419236081367873,242479,0.0583451637896601,1.6224734257603484
Twitter,#Challenge,Video,Brazil,3666211,327143,39423,36223,Medium,0.0892319072742949,0.010753063585265552,0.009880227842860108,402789,0.10986519870242056,363366,0.09911213511715501,1.3830534325703452
YouTube,#Education,Shorts,Australia,917951,127125,11687,36806,Low,0.13848778420634653,0.012731616393467626,0.04009582210815174,175618,0.1913152227079659,163931,0.17858360631449827,0.34729346751715146
Instagram,#Challenge,Shorts,Australia,1323566,136282,86979,47129,Low,0.1029657757905537,0.06571564999403127,0.035607593425639524,270390,0.2042890192102245,183411,0.13857336921619323,0.5167183987834091
YouTube,#Comedy,Tweet,Japan,627233,84121,97973,32648,Medium,0.13411443594326192,0.156198733166144,0.052050832784627084,214742,0.342364001894033,116769,0.186165268727889,0.23730452225792603
YouTube,#Gaming,Shorts,UK,2066886,317502,45222,33638,High,0.15361369712698233,0.021879290875258722,0.01627472439215322,396362,0.19176771239439427,351140,0.16988842151913555,0.781976386433105
Twitter,#Education,Live Stream,India,2169523,496078,96041,30174,Medium,0.22865763580289308,0.04426825620193932,0.01390812634851071,622293,0.2868340183533431,526252,0.2425657621514038,0.8184379546595416
TikTok,#Gaming,Shorts,India,3898384,8634,69378,42700,Low,0.0022147638611280983,0.017796604952205836,0.010953256528859137,120712,0.03096462534219307,51334,0.013168020389987236,1.4715109727767919
Instagram,#Comedy,Live Stream,Germany,4070332,379894,46012,25242,High,0.09333243578165122,0.011304237590447167,0.006201459733505768,451148,0.11083813310560416,405136,0.099533895515157,1.589052176889457
Twitter,#Music,Reel,Australia,4585669,465871,69083,8999,Medium,0.10159281012214358,0.015064977432954712,0.001962418133537331,543953,0.11862020568863561,474870,0.1035552282556809,1.7299127767281866
YouTube,#Viral,Shorts,Canada,4105651,195560,37627,49089,High,0.04763191026222151,0.009164685454267789,0.011956447345378358,282276,0.06875304306186765,244649,0.05958835760759987,1.5533135997512508
YouTube,#Fitness,Reel,Japan,1633015,312907,45774,30725,High,0.1916130592799209,0.028030361019341525,0.018814891473746414,389406,0.23845831177300883,343632,0.2104279507536673,0.6178275766980167
Twitter,#Comedy,Post,Germany,2471790,370802,54110,17081,High,0.15001355293127652,0.021891018249932236,0.006910376690576465,441993,0.17881494787178523,387883,0.15692392962185298,0.9324661466819704
