PC1,PC2,PC3
-14.711916,11.745303,20.22932
-32.22827,-9.460072,10.497274
-14.652037,-18.224024,-17.449625
16.355503,20.072386,4.90491
25.285778,0.12199341,17.794727
10.779586,-1.0570991,-14.482558
21.317522,-17.478159,-13.496506
-36.661022,-11.409836,-0.13044882
-16.06164,14.795388,-16.897572
-13.321305,3.3951402,4.7348785
-28.362871,-7.8838553,-15.842865
14.659685,3.262499,-9.991822
5.4884753,5.3583584,-17.600157
-0.16146225,-2.800508,-2.6151805
12.632894,4.5359783,15.215733
1.6316402,-4.786049,1.2237262
-1.1413966,-16.566233,-11.948437
-30.637266,-4.5175734,9.500666
25.657421,8.284595,-6.0278635
-13.3910265,3.7936842,-10.099
-26.88663,7.113197,-1.4732673
-20.508343,17.4533,-15.731075
10.56755,-8.190585,-18.393549
15.6697,-6.586111,10.093957
-16.758457,23.527672,-5.007096
15.315469,-18.045126,12.5115
0.54806226,-21.4155,16.69765
-27.6401,0.42686743,-17.877144
-0.90558696,-12.961907,4.8691325
36.567482,-13.872792,-0.7663552
4.871543,17.27938,14.486087
14.673856,17.936546,14.933154
-15.94188,-20.753767,-0.03295849
-19.115313,-2.9555218,8.302933
-16.12065,2.0248885,-6.0829597
27.940435,9.15564,-13.272182
-32.391586,-14.66232,1.898699
-20.853687,-4.1968193,-14.7247305
-10.489321,26.683064,-0.37975317
19.76424,-8.50688,-6.4549246
14.961908,19.897676,16.21558
-20.963476,-18.875797,1.1353087
0.67541015,9.616441,-21.728024
5.842204,-2.7878416,-3.5073383
-1.4372085,10.461225,0.97457856
27.97871,-7.67763,-4.02066
-4.5876675,19.417736,-21.121422
-12.092755,-2.8688624,-6.536401
-5.421729,2.4588184,-2.7771845
12.163507,-20.7474,-9.544836
-14.743893,22.148895,10.488016
24.260899,-5.717323,17.28238
-12.88654,5.6155086,2.6439905
-10.306383,-23.072737,3.4570668
7.61573,13.848796,26.498837
-6.7834444,23.954485,-2.2484236
-9.928227,16.601547,-24.68258
28.742762,-2.104539,17.4323
-11.642917,-1.7421392,-6.4386373
24.651472,-1.6132725,19.328735
-20.263426,-19.163221,-12.040881
-25.867157,3.4587088,23.227516
5.455621,22.719137,5.533424
7.8747606,3.527489,14.646426
8.319753,10.07683,10.687155
32.912983,5.925105,12.228393
-29.908672,6.0163846,4.474995
-2.561459,-22.879917,9.61992
-32.15994,-9.82718,11.812129
-21.703314,14.827074,-14.487642
-27.822643,-19.933193,11.562477
-32.032597,16.560886,0.6772044
20.908934,0.0032372903,17.076498
9.246782,2.420519,0.9122485
-3.5866,1.7711629,2.2178454
-18.077988,16.181515,8.220494
28.656467,-1.6052058,16.111021
-2.7767973,-6.6613803,16.791817
-23.083117,-23.486662,-2.3883483
32.591896,7.3327155,10.115669
1.3479313,3.2093847,24.883755
11.135687,2.8024795,-11.313535
-34.26488,2.2111855,-15.890649
29.875086,-1.5306088,-12.268271
2.9024336,-14.112465,-11.585779
-43.353886,-0.21853091,0.2862761
4.73331,-8.168553,12.561208
-10.219836,5.6929073,14.343405
-24.463263,-3.5110652,2.91252
-21.332375,5.820221,-4.9693785
-6.902373,-18.1959,8.413893
-8.822013,-4.7928753,-29.336824
-11.483902,23.33447,-17.118553
-23.840887,8.265072,-22.027683
7.440631,-13.690313,-21.861858
19.321054,-0.5575968,3.2567542
15.987344,-14.041666,5.8790092
