PC1,PC2,PC3
6.3488626,5.159567,6.505185
6.772599,5.53533,3.2385411
6.289493,2.3783398,5.842471
2.8772092,2.6605492,2.1893206
3.5385206,6.181594,3.8599854
2.2045646,3.1719954,2.4756968
3.864523,2.8217256,2.3998203
4.309957,2.2083561,4.8643417
6.091008,4.790791,5.8650413
6.5512347,6.0763907,3.4908078
6.5255394,2.7802706,4.8638835
6.101234,3.1412668,2.9351182
3.5958078,3.6024873,2.8337917
4.673326,2.4974444,5.794548
5.791423,2.613177,2.3880668
2.9882224,2.9905615,4.780813
4.245866,5.0601096,5.9042478
5.8126593,4.533137,6.4698315
5.7889595,2.6397827,1.7313983
6.086739,5.339162,6.071058
2.5830054,2.8027742,2.1592767
6.762519,3.136937,4.682003
2.1970181,2.9586937,2.5418987
6.968957,2.5664456,2.8136044
6.846158,6.238046,3.0115862
3.5680802,3.4111047,1.5865003
3.7237008,6.4492188,2.9384372
6.7513022,3.3447762,3.0586278
4.0140347,6.028479,3.5796504
4.9171762,2.0712168,5.670255
6.7946396,2.9031067,2.6082666
5.6896653,3.4720645,2.0453117
2.2454329,2.8635693,2.8965814
3.9891589,5.8366466,6.0155187
3.020567,7.245815,3.4008596
6.223226,4.5697184,5.804299
6.550885,2.6546614,5.432987
6.1460795,2.546486,5.0559926
2.8824396,3.7866342,2.4174356
6.3033233,2.9249423,5.3083973
6.4098077,3.3916006,2.965831
6.4865327,3.275324,4.8047485
3.8048398,5.751413,3.509352
4.327855,6.3093204,3.0444577
6.73806,2.2779307,4.358306
4.8981566,5.774057,3.1322043
3.9514482,3.4714997,1.748647
4.677062,2.7355697,2.3548386
2.3580666,3.072244,2.5898113
3.1024466,2.9464984,5.0139832
6.345197,2.616823,5.044146
6.423214,2.8222241,1.8601717
5.1595497,6.460429,3.2908728
2.999136,2.4040887,6.0423555
4.5576515,3.33273,1.6774917
5.965333,2.0995684,4.554791
3.076113,5.083935,5.478215
6.8382907,3.2614336,1.9378345
5.0109115,5.6211643,6.3962817
3.282705,6.2180653,3.631157
5.412583,3.0545008,2.8725002
3.3932283,4.8214746,6.2290087
7.200551,3.3290129,2.2862904
3.117951,2.8454304,4.781461
2.623331,1.9527147,5.444229
6.5855556,2.8252282,1.9130121
3.051168,2.8375638,4.835048
3.509777,6.9071355,4.0316715
6.4646006,4.3087306,6.2611403
6.2940598,4.5585327,6.3365407
3.6680646,2.966767,2.1642988
3.7571,6.705103,3.8043487
3.4400046,2.7301219,5.1875453
2.8492663,2.402272,5.8778725
6.768353,5.7680035,3.6190858
6.3927116,3.0918353,4.610072
6.6426,5.692721,3.1408174
7.128404,6.001274,3.4736283
5.631304,6.173422,3.656399
6.421834,3.0970492,4.8039236
3.4115424,5.207664,5.911701
3.812502,2.6233864,5.600675
5.1828866,2.8898466,5.733448
6.377264,3.746662,2.0352266
3.4405475,3.6361666,2.863858
4.747901,4.917947,5.758444
